RoomType;Room_ID;hasCoordinate;Height;W;D;OpeningArea;WFR;v_out;T_out;Distance;T_10_ID;T_10;T_20_ID;T_20;T_30_ID;T_30;T_40_ID;T_40;T_50_ID;T_50;T_60_ID;T_60;T_70_ID;T_70;T_80_ID;T_80;T_90_ID;T_90;T_100_ID;T_100
Standard;:Standard_075;{1.55, 1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;3,858837;Res_V_T10_142;0,085651;Res_V_T20_142;0,084925;Res_V_T30_142;0,082115;Res_V_T40_142;0,087153;Res_V_T50_142;0,085568;Res_V_T60_142;0,094639;Res_V_T70_142;0,10178;Res_V_T80_142;0,095084;Res_V_T90_142;0,133343;Res_V_T100_142;0,08306
Standard;:Standard_075;{1.55, 1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;4,121969;Res_V_T10_143;0,06809;Res_V_T20_143;0,092863;Res_V_T30_143;0,064743;Res_V_T40_143;0,090801;Res_V_T50_143;0,062744;Res_V_T60_143;0,091193;Res_V_T70_143;0,065497;Res_V_T80_143;0,092379;Res_V_T90_143;0,082266;Res_V_T100_143;0,087266
Standard;:Standard_075;{-1.55, -1.8, -0.3};2;3,5;4;0,75;0,0534;3;5;1,555836;Res_V_T10_144;0,044637;Res_V_T20_144;0,019941;Res_V_T30_144;0,022815;Res_V_T40_144;0,014455;Res_V_T50_144;0,004006;Res_V_T60_144;0,005732;Res_V_T70_144;0,007816;Res_V_T80_144;0,011467;Res_V_T90_144;0,016664;Res_V_T100_144;0,026249
Standard;:Standard_075;{-1.55, -1.5, -0.3};2;3,5;4;0,75;0,0534;3;5;1,593934;Res_V_T10_145;0,049151;Res_V_T20_145;0,023359;Res_V_T30_145;0,02472;Res_V_T40_145;0,016847;Res_V_T50_145;0,011117;Res_V_T60_145;0,010045;Res_V_T70_145;0,017226;Res_V_T80_145;0,018769;Res_V_T90_145;0,02607;Res_V_T100_145;0,030976
Standard;:Standard_075;{-1.55, -1.2, -0.3};2;3,5;4;0,75;0,0534;3;5;1,685415;Res_V_T10_146;0,060822;Res_V_T20_146;0,032001;Res_V_T30_146;0,033374;Res_V_T40_146;0,024209;Res_V_T50_146;0,016017;Res_V_T60_146;0,018503;Res_V_T70_146;0,019175;Res_V_T80_146;0,026631;Res_V_T90_146;0,028111;Res_V_T100_146;0,038013
Standard;:Standard_075;{-1.55, -0.9, -0.3};2;3,5;4;0,75;0,0534;3;5;1,822258;Res_V_T10_147;0,071484;Res_V_T20_147;0,039455;Res_V_T30_147;0,042279;Res_V_T40_147;0,031658;Res_V_T50_147;0,0204;Res_V_T60_147;0,026025;Res_V_T70_147;0,019185;Res_V_T80_147;0,032215;Res_V_T90_147;0,028478;Res_V_T100_147;0,043332
Standard;:Standard_075;{-1.55, -0.6, -0.3};2;3,5;4;0,75;0,0534;3;5;1,99515;Res_V_T10_148;0,077976;Res_V_T20_148;0,044647;Res_V_T30_148;0,050905;Res_V_T40_148;0,038592;Res_V_T50_148;0,025851;Res_V_T60_148;0,032795;Res_V_T70_148;0,018421;Res_V_T80_148;0,036053;Res_V_T90_148;0,028325;Res_V_T100_148;0,046418
Standard;:Standard_075;{-1.55, -0.3, -0.3};2;3,5;4;0,75;0,0534;3;5;2,195592;Res_V_T10_149;0,079526;Res_V_T20_149;0,047406;Res_V_T30_149;0,058525;Res_V_T40_149;0,043898;Res_V_T50_149;0,032844;Res_V_T60_149;0,038287;Res_V_T70_149;0,017607;Res_V_T80_149;0,03835;Res_V_T90_149;0,028019;Res_V_T100_149;0,047156
Standard;:Standard_075;{-1.55, 0.0, -0.3};2;3,5;4;0,75;0,0534;3;5;2,416739;Res_V_T10_150;0,07677;Res_V_T20_150;0,049227;Res_V_T30_150;0,063809;Res_V_T40_150;0,047553;Res_V_T50_150;0,040794;Res_V_T60_150;0,042041;Res_V_T70_150;0,017717;Res_V_T80_150;0,039543;Res_V_T90_150;0,027566;Res_V_T100_150;0,046221
Standard;:Standard_075;{-1.55, 0.3, -0.3};2;3,5;4;0,75;0,0534;3;5;2,653418;Res_V_T10_151;0,070792;Res_V_T20_151;0,050679;Res_V_T30_151;0,065585;Res_V_T40_151;0,0507;Res_V_T50_151;0,048243;Res_V_T60_151;0,044822;Res_V_T70_151;0,019831;Res_V_T80_151;0,040344;Res_V_T90_151;0,026735;Res_V_T100_151;0,044451
